country,region,CPI2017,HDI2017,population
United States,Americas,75,0.924,325719178
Brazil,Americas,37,0.759,209288278
Mexico,Americas,29,0.774,129163276
Colombia,Americas,37,0.747,49065615
Argentina,Americas,39,0.825,44271041
Canada,Americas,82,0.926,36708083
Peru,Americas,37,0.75,32165485
Venezuela,Americas,18,0.761,31977065
Chile,Americas,67,0.843,18054726
Guatemala,Americas,28,0.65,16913503
China,Asia Pacific,41,0.752,1386395000
India,Asia Pacific,40,0.64,1339180127
Indonesia,Asia Pacific,37,0.694,263991379
Pakistan,Asia Pacific,32,0.562,197015955
Bangladesh,Asia Pacific,28,0.608,164669751
Japan,Asia Pacific,73,0.909,126785797
Philippines,Asia Pacific,34,0.699,104918090
Viet Nam,Asia Pacific,35,0.694,95540800
Thailand,Asia Pacific,37,0.755,69037513
Myanmar,Asia Pacific,30,0.578,53370609
Russia,East EU Cemt Asia,29,0.816,144495044
Turkey,East EU Cemt Asia,40,0.791,80745020
Ukraine,East EU Cemt Asia,30,0.751,44831159
Uzbekistan,East EU Cemt Asia,22,0.71,32387200
Kazakhstan,East EU Cemt Asia,31,0.8,18037646
Azerbaijan,East EU Cemt Asia,31,0.757,9862429
Belarus,East EU Cemt Asia,44,0.808,9507875
Tajikistan,East EU Cemt Asia,21,0.65,8921343
Serbia,East EU Cemt Asia,41,0.787,7022268
Kyrgyzstan,East EU Cemt Asia,29,0.672,6201500
Germany,EU W. Europe,81,0.936,82695000
France,EU W. Europe,70,0.901,67118648
United Kingdom,EU W. Europe,82,0.922,66022273
Italy,EU W. Europe,50,0.88,60551416
Spain,EU W. Europe,57,0.891,46572028
Poland,EU W. Europe,60,0.865,37975841
Romania,EU W. Europe,48,0.811,19586539
Netherlands,EU W. Europe,82,0.931,17132854
Belgium,EU W. Europe,75,0.916,11372068
Greece,EU W. Europe,48,0.87,10760421
Egypt,MENA,32,0.696,97553151
Iran,MENA,30,0.798,81162788
Algeria,MENA,33,0.754,41318142
Iraq,MENA,18,0.685,38274618
Morocco,MENA,40,0.667,35739580
Saudi Arabia,MENA,49,0.853,32938213
Yemen,MENA,16,0.452,28250420
Syria,MENA,14,0.536,18269868
Tunisia,MENA,42,0.735,11532127
Jordan,MENA,48,0.735,9702353
Nigeria,SSA,27,0.532,190886311
Ethiopia,SSA,35,0.463,104957438
Congo (Dem. Rep.),SSA,21,0.457,81339988
Tanzania,SSA,36,0.538,57310019
South Africa,SSA,43,0.699,56717156
Kenya,SSA,28,0.59,49699862
Uganda,SSA,26,0.516,42862958
Sudan,SSA,16,0.502,40533330
Angola,SSA,19,0.581,29784193
Mozambique,SSA,25,0.437,29668834
